Date,CPI
1914-01,6
1914-02,6
1914-03,6
1914-04,6
1914-05,5.9
1914-06,6
1914-07,5.9
1914-08,6
1914-09,6
1914-10,6.1
1914-11,6.1
1914-12,6.1
1915-01,6.1
1915-02,6.1
1915-03,6.1
1915-04,6.1
1915-05,6.1
1915-06,6.1
1915-07,6.1
1915-08,6.1
1915-09,6.1
1915-10,6.1
1915-11,6.3
1915-12,6.3
1916-01,6.4
1916-02,6.5
1916-03,6.5
1916-04,6.5
1916-05,6.5
1916-06,6.6
1916-07,6.6
1916-08,6.6
1916-09,6.8
1916-10,6.9
1916-11,7.1
1916-12,7.2
1917-01,7.4
1917-02,7.4
1917-03,7.6
1917-04,7.6
1917-05,7.9
1917-06,8
1917-07,8
1917-08,8
1917-09,8
1917-10,8.2
1917-11,8.2
1917-12,8.3
1918-01,8.4
1918-02,8.5
1918-03,8.6
1918-04,8.6
1918-05,8.7
1918-06,8.8
1918-07,8.9
1918-08,9.2
1918-09,9.2
1918-10,9.3
1918-11,9.4
1918-12,9.4
1919-01,9.5
1919-02,9.4
1919-03,9.4
1919-04,9.4
1919-05,9.7
1919-06,9.7
1919-07,9.8
1919-08,10
1919-09,10
1919-10,10
1919-11,10.1
1919-12,10.2
1920-01,10.6
1920-02,10.8
1920-03,11.2
1920-04,11.3
1920-05,11.6
1920-06,11.8
1920-07,11.8
1920-08,11.7
1920-09,11.5
1920-10,11.5
1920-11,11.3
1920-12,11.2
1921-01,11
1921-02,10.8
1921-03,10.5
1921-04,10.2
1921-05,10
1921-06,9.7
1921-07,9.7
1921-08,9.7
1921-09,9.7
1921-10,9.7
1921-11,9.4
1921-12,9.4
1922-01,9.4
1922-02,9.3
1922-03,9.2
1922-04,9.2
1922-05,9.1
1922-06,9.1
1922-07,9.1
1922-08,9.2
1922-09,9.2
1922-10,9.2
1922-11,9.2
1922-12,9.2
1923-01,9.2
1923-02,9.2
1923-03,9.3
1923-04,9.2
1923-05,9.2
1923-06,9.2
1923-07,9.1
1923-08,9.2
1923-09,9.2
1923-10,9.2
1923-11,9.2
1923-12,9.2
1924-01,9.2
1924-02,9.2
1924-03,9.2
1924-04,9
1924-05,8.9
1924-06,8.8
1924-07,8.8
1924-08,9
1924-09,9
1924-10,9
1924-11,9.1
1924-12,9.1
1925-01,9.2
1925-02,9.2
1925-03,9.2
1925-04,9.1
1925-05,9
1925-06,9
1925-07,9
1925-08,9.1
1925-09,9.1
1925-10,9.2
1925-11,9.2
1925-12,9.3
1926-01,9.2
1926-02,9.2
1926-03,9.2
1926-04,9.2
1926-05,9.2
1926-06,9.2
1926-07,9.2
1926-08,9.2
1926-09,9.2
1926-10,9.2
1926-11,9.2
1926-12,9.2
1927-01,9.2
1927-02,9.2
1927-03,9.1
1927-04,9
1927-05,9
1927-06,9
1927-07,9.1
1927-08,9
1927-09,9
1927-10,9
1927-11,9.1
1927-12,9.1
1928-01,9.2
1928-02,9.2
1928-03,9.1
1928-04,9.1
1928-05,9
1928-06,9
1928-07,9
1928-08,9.2
1928-09,9.2
1928-10,9.2
1928-11,9.2
1928-12,9.2
1929-01,9.2
1929-02,9.2
1929-03,9.2
1929-04,9.1
1929-05,9.2
1929-06,9.2
1929-07,9.2
1929-08,9.2
1929-09,9.2
1929-10,9.3
1929-11,9.3
1929-12,9.4
1930-01,9.4
1930-02,9.4
1930-03,9.3
1930-04,9.2
1930-05,9.2
1930-06,9.2
1930-07,9.2
1930-08,9.2
1930-09,8.9
1930-10,8.9
1930-11,8.9
1930-12,8.8
1931-01,8.7
1931-02,8.6
1931-03,8.5
1931-04,8.4
1931-05,8.3
1931-06,8.2
1931-07,8.1
1931-08,8.2
1931-09,8.1
1931-10,7.9
1931-11,7.9
1931-12,7.9
1932-01,7.8
1932-02,7.6
1932-03,7.6
1932-04,7.6
1932-05,7.4
1932-06,7.4
1932-07,7.4
1932-08,7.4
1932-09,7.4
1932-10,7.3
1932-11,7.3
1932-12,7.3
1933-01,7.2
1933-02,7.2
1933-03,7.1
1933-04,7.1
1933-05,7.1
1933-06,7.1
1933-07,7.1
1933-08,7.2
1933-09,7.2
1933-10,7.1
1933-11,7.1
1933-12,7.1
1934-01,7.2
1934-02,7.2
1934-03,7.3
1934-04,7.3
1934-05,7.2
1934-06,7.2
1934-07,7.2
1934-08,7.2
1934-09,7.2
1934-10,7.2
1934-11,7.2
1934-12,7.2
1935-01,7.2
1935-02,7.2
1935-03,7.2
1935-04,7.2
1935-05,7.2
1935-06,7.2
1935-07,7.2
1935-08,7.2
1935-09,7.3
1935-10,7.3
1935-11,7.4
1935-12,7.4
1936-01,7.4
1936-02,7.4
1936-03,7.4
1936-04,7.3
1936-05,7.3
1936-06,7.3
1936-07,7.4
1936-08,7.4
1936-09,7.4
1936-10,7.5
1936-11,7.5
1936-12,7.5
1937-01,7.6
1937-02,7.6
1937-03,7.6
1937-04,7.6
1937-05,7.6
1937-06,7.6
1937-07,7.6
1937-08,7.7
1937-09,7.7
1937-10,7.8
1937-11,7.8
1937-12,7.8
1938-01,7.7
1938-02,7.7
1938-03,7.8
1938-04,7.8
1938-05,7.7
1938-06,7.7
1938-07,7.8
1938-08,7.8
1938-09,7.7
1938-10,7.6
1938-11,7.6
1938-12,7.6
1939-01,7.6
1939-02,7.6
1939-03,7.6
1939-04,7.6
1939-05,7.6
1939-06,7.6
1939-07,7.6
1939-08,7.6
1939-09,7.6
1939-10,7.8
1939-11,7.8
1939-12,7.8
1940-01,7.8
1940-02,7.8
1940-03,7.9
1940-04,7.9
1940-05,7.9
1940-06,7.9
1940-07,8
1940-08,8
1940-09,8.1
1940-10,8.1
1940-11,8.1
1940-12,8.2
1941-01,8.2
1941-02,8.2
1941-03,8.2
1941-04,8.2
1941-05,8.2
1941-06,8.4
1941-07,8.5
1941-08,8.6
1941-09,8.7
1941-10,8.7
1941-11,8.8
1941-12,8.7
1942-01,8.7
1942-02,8.7
1942-03,8.8
1942-04,8.8
1942-05,8.8
1942-06,8.8
1942-07,8.9
1942-08,8.9
1942-09,8.8
1942-10,8.9
1942-11,9
1942-12,9
1943-01,8.8
1943-02,8.8
1943-03,8.8
1943-04,9
1943-05,9
1943-06,9
1943-07,9.1
1943-08,9.1
1943-09,9.2
1943-10,9.2
1943-11,9.2
1943-12,9.2
1944-01,9.1
1944-02,9.1
1944-03,9.1
