meta,,fleet,,,,,,,,employees,,,service,,,,,operating funding,,,,,,,,,operating expenses,,,,Error checking
,,total,Bus,,,Rail,,,Boat,total,operators,,km operated,,,passenger trips,,total,revenue,,,subsidy,,,,,total,"wages, etc.",derived variables,,operations
Year,Source,,Standard,Trolley,Wheel-Trans,Streetcar,Subway,SRT,Ferry,,full-time,part-time,total,bus,streetcar,unlinked,revenue passengers,,total,fares,other,total,municipal,muni fare subsidy,provincial,other,,,recovery ratio,average fare,net income
1960,5,1751,597,145,0,869,140,0,4,5600,,,79115357.03,-,-,,282228000,41222115,41222115,39752478,1469637,0,0,,0,0,37757875,25266893,1.091748807368,0.140852353416387,9.17488073679994%
1961,5,1695,574,145,0,836,140,0,4,5600,,,78738891.25,-,-,,267582600,40620852,40620852,39340172,1280680,0,0,,0,0,37995083,25580290,1.06910812643836,0.147020665768253,6.91081264383605%
1962,5,1737,604,145,0,816,172,0,0,5560,,,79650676.15,-,-,,268804600,40651143,40651143,39246169,1404974,0,0,,0,0,39284256,26725934,1.03479477885492,0.146002594449649,3.47947788549184%
1963,5,1791,714,153,0,754,170,0,0,5640,,,85198165.44,-,-,,271103300,43858509,41358509,39850604,1507905,2500000,2500000,,0,0,41613793,27832736,0.993865399388131,0.146994167905739,5.39416342076772%
1964,5,1802,725,153,0,754,170,0,0,5844,,,88789752.71,-,-,,275291005,47951951,47951951,46248806,1703145,0,0,,0,0,42770698,29404324,1.12114024886851,0.167999699082068,12.1140248868513%
1965,5,2037,812,153,0,738,334,0,0,6030,,,90370727.15,-,-,,288038489,50086720,50086720,48388055,1698665,0,0,,0,0,44745984,30751004,1.11935676730229,0.167991629063156,11.935676730229%
1966,5,2046,868,153,0,691,334,0,0,6068,,,102789811.3,42857245.16,23512024.16,,307148930,53610814,53610814,51659378,1951436,0,0,,0,0,54585970,35130954,0.982135409520065,0.168189998252639,-1.78645904799347%
1967,5,2101,939,153,0,675,334,0,0,6328,,,101830541.6,45514236.74,22192838.85,,314413486,62506278,62506278,60411243,2095035,0,0,,0,0,56987611,38566249,1.09683976750666,0.192139477757643,9.68397675066602%
1968,5,1972,942,153,0,543,334,0,0,6490,,,112147300,52131600,20595200,,323481655,66755432,66755432,64440622,2314810,0,0,,0,0,64703253,45747045,1.03171678246224,0.199209510041613,3.17167824622357%
1969,5,1935,1003,152,0,446,334,0,0,6529,,,116169800,53901500,18986200,,322193404,79002886,79002886,76790184,2212702,0,0,,0,0,71608940,50577986,1.10325450984193,0.238335679894924,10.3254509841928%
1970,5,1886,963,152,0,437,334,0,0,6535,,,115848000,54384200,18342600,,323616632,81722677,81722677,78359934,3362743,0,0,,0,0,79820139,54745955,1.02383531304048,0.242138154382621,2.38353130404847%
1971,5,1871,963,152,0,422,334,0,0,6815,,,118100600,57280400,17699000,,330495450,86514066,83635177,80067234,3567943,2878889,1439444.5,,1439444.5,0,86514006,61006087,0.966724127882831,0.242264255075221,0.0000693529322698325%
1972,5,1986,1006,152,0,418,410,0,0,7042,,,120192300,59372100,17377200,,345994178,92842600,86669476,83623799,3045677,6173124,3086562,,3086562,0,92842600,66204585,0.933509789687062,0.241691347187929,0%
1973,5,2052,1097,152,0,393,410,0,0,7330,,,128880900,63394600,17538100,,329027000,103164924,85298653,81912244,3386409.00000001,17866271,8933135.5,,8933135.5,0,103164924,75384550,0.826818357371155,0.248952955228598,0%
1974,5,2121,1165,151,0,389,416,0,0,7565,,,134351500,65164500,15929100,,329796000,118527881,84322733,80618925,3703807.99999998,34205148,17102574,,17102574,0,118527881,88106171,0.71141686064564,0.244450887821562,0%
1975,5,2255,1218,151,0,388,498,0,0,8047,,,151728700,74014000,16894500,,357539000,146020410,107863215,103925560,3937655,38157195,19078597.5,,19078597.5,0,146020410,109968025,0.738685879597243,0.290669157770201,0%
1976,5,2222,1219,151,0,358,494,0,0,8473,,,154624900,76427500,16250900,,350600000,167659556,132100000,127919271,4180729,35559556,17779778,,17779778,0,167665481,128333874,0.728,0.364858160296634,-0.00353382220637294%
1977,5,2274,1235,151,0,354,534,0,0,8525,,,151889600,75462100,15607300,,348700000,179981000,137729000,132529000,5199999.99999999,42252000,21126000,,21126000,0,179981000,137620000,0.716,0.380065959277316,0%
1978,5,2304,1219,151,0,344,590,0,0,8632,,,158808300,75462100,15124600,,337600000,213808000,145975000,140696000,5279000,67833000,37133000,,30700000,0,196399000,150621000,0.69,0.43,8.86409808603914%
1979,5,2359,1231,151,0,359,618,0,0,8703,,,159291000,77392900,14641900,,346200000,230526000,165863000,159879000,5983999.99999997,64663000,31413000,,33250000,0,211618000,162023000,0.729,0.461811091854419,8.93496772486273%
