Year,total operating funding,total revenue,passenger services,other revenue,total subsidy,municipal subsidy,provincial subsidy,other subsidy,total expenses,wages etc
1960,"$41,222,115","$41,222,115","$39,752,478","$1,469,637",$0,$0,$0,$0,"$37,757,875","$25,266,893"
1961,"$40,620,852","$40,620,852","$39,340,172","$1,280,680",$0,$0,$0,$0,"$37,995,083","$25,580,290"
1962,"$40,651,143","$40,651,143","$39,246,169","$1,404,974",$0,$0,$0,$0,"$39,284,256","$26,725,934"
1963,"$43,858,509","$41,358,509","$39,850,604","$1,507,905","$2,500,000","$2,500,000",$0,$0,"$41,613,793","$27,832,736"
1964,"$47,951,951","$47,951,951","$46,248,806","$1,703,145",$0,$0,$0,$0,"$42,770,698","$29,404,324"
1965,"$50,086,720","$50,086,720","$48,388,055","$1,698,665",$0,$0,$0,$0,"$44,745,984","$30,751,004"
1966,"$53,610,814","$53,610,814","$51,659,378","$1,951,436",$0,$0,$0,$0,"$54,585,970","$35,130,954"
1967,"$62,506,278","$62,506,278","$60,411,243","$2,095,035",$0,$0,$0,$0,"$56,987,611","$38,566,249"
1968,"$66,755,432","$66,755,432","$64,440,622","$2,314,810",$0,$0,$0,$0,"$64,703,253","$45,747,045"
1969,"$79,002,886","$79,002,886","$76,790,184","$2,212,702",$0,$0,$0,$0,"$71,608,940","$50,577,986"
1970,"$81,722,677","$81,722,677","$78,359,934","$3,362,743",$0,$0,$0,$0,"$79,820,139","$54,745,955"
1971,"$86,514,066","$83,635,177","$80,067,234","$3,567,943","$2,878,889","$1,439,445","$1,439,445",$0,"$86,514,006","$61,006,087"
1972,"$92,842,600","$86,669,476","$83,623,799","$3,045,677","$6,173,124","$3,086,562","$3,086,562",$0,"$92,842,600","$66,204,585"
1973,"$103,164,924","$85,298,653","$81,912,244","$3,386,409","$17,866,271","$8,933,136","$8,933,136",$0,"$103,164,924","$75,384,550"
1974,"$118,527,881","$84,322,733","$80,618,925","$3,703,808","$34,205,148","$17,102,574","$17,102,574",$0,"$118,527,881","$88,106,171"
1975,"$146,020,410","$107,863,215","$103,925,560","$3,937,655","$38,157,195","$19,078,598","$19,078,598",$0,"$146,020,410","$109,968,025"
