Year,total,bus,streetcar
1960,79115357,,
1961,78738891,,
1962,79650676,,
1963,85198165,,
1964,88789753,,
1965,90370727,,
1966,102789811,42857245,23512024
1967,101830542,45514237,22192839
1968,112147300,52131600,20595200
1969,116169800,53901500,18986200
1970,115848000,54384200,18342600
1971,118100600,57280400,17699000
1972,120192300,59372100,17377200
1973,128880900,63394600,17538100
1974,134351500,65164500,15929100
1975,151728700,74014000,16894500
1976,154624900,76427500,16250900
1977,151889600,75462100,15607300
1978,158808300,75462100,15124600
1979,159291000,77392900,14641900
1980,163152600,79323700,15124600
1981,173611100,83828900,14963700
1982,182460600,91391200,15124600
1983,182621500,92034800,14963700
1984,184230500,93643800,14802800
1985,186483100,94931000,14641900
1986,190183800,96540000,14481000
1987,193562700,98149000,14159200
1988,193800000,100100000,13900000
1989,189800000,98100000,13100000
1990,194600000,101900000,13100000
1991,187400000,98800000,12700000
1992,183200000,102100000,12000000
1993,178500000,99000000,11500000
1994,179100000,100500000,11200000
1995,178500000,100900000,11100000
1996,172100000,93700000,10900000
1997,173500000,93700000,10600000
1998,178300000,94500000,12100000
1999,177100000,94400000,11400000
2000,184900000,95000000,11300000
2001,189300000,97700000,11700000
2002,192200000,100400000,11300000
2003,193200000,99800000,11800000
2004,195700000,100700000,12200000
2005,196600000,102900000,11700000
2006,199300000,105900000,11600000
2007,197600000,107600000,11800000
2008,204500000,114200000,12100000
2009,214800000,123700000,12300000
2010,215700000,124000000,12700000
2011,216100000,123600000,13100000
2012,219300000,125000000,12600000
2013,224900000,129600000,12500000
2014,228400000,131300000,12800000
2015,231100000,131600000,13900000
2016,238200000,138600000,13100000
2017,239800000,142000000,11500000
2018,250600000,143200000,11400000
