Date,Source,1 Zone Ticket,1 Zone Cash,Cash,Prepaid,Holiday Pass,Monthly Pass,Day Pass
1954-01-01,3,0.10,0.10,,,,,
1956-07-01,3,0.13,0.15,,,,,
1960-05-01,3,0.15,0.15,,,,,
1961-05-01,3,0.14,0.20,,,,,
1962-02-01,3,0.14,0.20,,,,,
1964-01-01,3,0.17,0.20,,,,,
1967-03-25,3,0.20,0.25,,,,,
1969-02-08,3,0.25,0.30,,,,,
1973-01-21,3,-1,-1,0.30,0.25,,,
1973-03-16,3,,,,,1.00,,
1975-03-29,3,,,0.40,0.33,,,
1976-03-14,3,,,0.50,0.40,1.75,,
1977-07-01,3,,,,,1.25,,
1978-01-01,3,,,0.55,0.43,1.50,,
1979-03-12,3,,,0.60,0.50,1.75,,
1980-05-01,3,,,,,,26.00,
1981-01-04,3,,,0.65,0.57,2.00,29.75,
1982-01-04,3,,,0.75,0.63,2.25,32.50,
1983-01-02,3,,,0.85,0.67,2.50,34.75,
1984-01-02,3,,,0.90,0.70,2.75,36.50,
1985-01-02,3,,,0.95,0.74,3.00,38.50,
1986-01-02,3,,,1.00,0.80,3.30,41.50,
1987-01-05,3,,,1.00,0.83,3.50,43.50,
1988-01-04,3,,,1.05,0.88,3.75,46.00,
1989-01-03,3,,,1.10,0.94,4.00,49.00,
1990-01-02,3,,,1.20,1.00,-1,53.00,5.00
1991-01-01,3,,,1.30,1.07,,56.50,5.00
1992-01-01,3,,,2.00,1.10,,,5.00
1992-03-01,3,,,2.00,1.30,,67.00,5.00
1995-09-05,3,,,2.00,1.50,,78.00,6.00
1996-06-01,3,,,2.00,1.60,,83.00,6.50
1999-05-03,3,,,2.00,1.70,,88.50,7.00
2001-06-01,3,,,2.25,1.80,,93.50,7.50
2003-01-01,3,,,2.25,1.90,,98.75,7.75
2005-03-06,3,,,2.50,2.00,,98.75,8.00
2006-04-01,3,,,2.75,2.10,,99.75,8.50
2007-11-04,3,,,2.75,2.25,,109.00,9.00
2010-01-03,"3,4",,,3.00,2.50,,121.00,10.00
2012-01-01,"3,4",,,3.00,2.60,,126.00,10.50
2013-01-01,4,,,3.00,2.65,,128.50,10.75
2014-01-01,4,,,3.00,2.70,,133.75,11.00
2015-03-01,4,,,3.00,2.80,,141.50,11.50
2016-01-03,4,,,3.25,2.90,,,12.00
2017-01-01,4,,,3.25,3.00,,146.25,12.50
2019-04-01,4,,,3.25,3.10,,151.15,13.00
2020-03-01,4,,,3.25,3.20,,156.00,13.00
2023-04-03,,,,3.35,3.30,,156.00,13.50
