year,epoch,nominal,cash2019
1973,96408000,0.30,1.71
1975,165268800,0.40,1.85
1976,193780800,0.50,2.19
1978,252446400,0.55,2.02
1979,290030400,0.60,2.04
1981,347400000,0.65,1.77
1982,378936000,0.75,1.85
1983,410299200,0.85,1.98
1984,441835200,0.90,2.03
1985,473457600,0.95,2.05
1986,504993600,1.00,2.07
1988,568238400,1.05,2.00
1989,599774400,1.10,1.99
1990,631224000,1.20,2.09
1991,662673600,1.30,2.13
1992,694209600,2.00,3.25
2001,978292800,2.25,3.13
2005,1110052800,2.50,3.18
2006,1143835200,2.75,3.43
2010,1262462400,3.00,3.52
2016,1451592000,3.25,3.45
2019,1569873600,3.25,3.25
